Shipment ID	FBA15BWBNN8P
Name	FBA (18.05.18 20:25) - 1
Plan ID	PLN173XQHV
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	41
Total Units	633
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWBNN8PU001 - Unit Quantity	FBA15BWBNN8PU001 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU002 - Unit Quantity	FBA15BWBNN8PU002 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU003 - Unit Quantity	FBA15BWBNN8PU003 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU004 - Unit Quantity	FBA15BWBNN8PU004 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU005 - Unit Quantity	FBA15BWBNN8PU005 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU006 - Unit Quantity	FBA15BWBNN8PU006 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU007 - Unit Quantity	FBA15BWBNN8PU007 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU008 - Unit Quantity	FBA15BWBNN8PU008 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU009 - Unit Quantity	FBA15BWBNN8PU009 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU010 - Unit Quantity	FBA15BWBNN8PU010 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU011 - Unit Quantity	FBA15BWBNN8PU011 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU012 - Unit Quantity	FBA15BWBNN8PU012 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU013 - Unit Quantity	FBA15BWBNN8PU013 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU014 - Unit Quantity	FBA15BWBNN8PU014 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU015 - Unit Quantity	FBA15BWBNN8PU015 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU016 - Unit Quantity	FBA15BWBNN8PU016 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU017 - Unit Quantity	FBA15BWBNN8PU017 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU018 - Unit Quantity	FBA15BWBNN8PU018 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU019 - Unit Quantity	FBA15BWBNN8PU019 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU020 - Unit Quantity	FBA15BWBNN8PU020 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU021 - Unit Quantity	FBA15BWBNN8PU021 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU022 - Unit Quantity	FBA15BWBNN8PU022 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU023 - Unit Quantity	FBA15BWBNN8PU023 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU024 - Unit Quantity	FBA15BWBNN8PU024 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU025 - Unit Quantity	FBA15BWBNN8PU025 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU026 - Unit Quantity	FBA15BWBNN8PU026 Expiration Date (dd.mm.yy)	FBA15BWBNN8PU027 - Unit Quantity	FBA15BWBNN8PU027 Expiration Date (dd.mm.yy)
78-0FWO-EKRJ	My Custom Style® Confezione risparmio da 10 Shopper in cotone naturale di colore beige manici lunghi da 70cm. Ideale per pittura o per stampe digitali. Formato 38x42cm.	B01N5RGTHY	X000O71TQV		Nuovo	"--"	"--"	Venditore	50		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
7V-M887-CAV4	HP 12C Platinum Financial Calculator calculator - Calculators	B005D7H39G	X000PCE0UR	EAN : 0808736931281	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
D3-7CW8-XDAJ	My Custom Style® Grembiule Nero Medio professionale da cameriere / barman /pizzaiolo/per cucina o barbecue 100% cotone, dimensione 82x44 cm . Doppia tasca frontale.	B072HC5RLV	X000PBF5WZ		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
ES-MJUR-KR1U	My Custom Style® Confezione risparmio da 10 Shopper in cotone naturale di colore gialla con manici medi da 50cm. Ideale per pittura o per stampe digitali, formato 36,5x41cm.	B06XB1H1TQ	X000PBGXVR		Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-12854012	Epson C13T12854012 Cartuccia Inkjet Ink Pigmentato, Blister RS Volpe-M T1285, Confezione da 4, Nero/Ciano/Magenta/Giallo, Imballaggio Standard	B003MVJ36Q	X000U9BKD5	EAN : 8715946469003	Nuovo	"--"	"--"	Venditore	20																																																						
FBA-8018B001_1_MP-120	Canon MP 120 MG Calcolatrice	B001LK7X4Y	X000T87L3P	EAN : 4960999571898	Nuovo	"--"	"--"	Venditore	2		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-GRB-CBL_N	My Custom Style® Gancio a forma di cuore con brillantini, appendi borsa e porta borsetta, in metallo con scatola in cartoncino inclusa nel prezzo. Versione neutra senza stampa. Pratico e utile idea regalo per donne che non vogliono sporcare la borsa lasciandola sul pavimento, ma poggiarla al tavolo, al bar a ristorante, o in altre occasioni.	B07BVYZBZ3	X000U07P9R		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-GRB-QMT_N	My Custom Style® Gancio quadrato argentato, appendi borsa e porta borsetta, in metallo con scatola in cartoncino inclusa nel prezzo. Versione neutra senza stampa. Pratico e utile idea regalo per donne che non vogliono sporcare la borsa lasciandola sul pavimento, ma poggiarla al tavolo, al bar a ristorante, o in altre occasioni.	B07BVYHNN2	X000U072GN		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-GRB-TBK_N	My Custom Style® Gancio tondo nero, appendi borsa e porta borsetta, in metallo con scatola in cartoncino inclusa nel prezzo. Versione neutra senza stampa. Pratico e utile idea regalo per donne che non vogliono sporcare la borsa lasciandola sul pavimento, ma poggiarla al tavolo, al bar a ristorante, o in altre occasioni.	B07BVY9KB8	X000U073ZD		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-GRB-TMT_N	My Custom Style® Gancio tondo argentato, appendi borsa e porta borsetta, in metallo con scatola in cartoncino inclusa nel prezzo. Versione neutra senza stampa. Pratico e utile idea regalo per donne che non vogliono sporcare la borsa lasciandola sul pavimento, ma poggiarla al tavolo, al bar a ristorante, o in altre occasioni.	B07BVYXKKB	X000U07F79		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
