Shipment ID	FBA15BWT9Z23
Name	FBA (01.06.18 13:48) - 1
Plan ID	PLN17G6WW0
Ship To	Amazon Fulfillment Center, Via della Meccanica snc, Passo Corese (RI), Rieti, IT, 02032
Total SKUs	32
Total Units	723
Pack list	1 di 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who Will Prep?	Prep Type	Who Will Label?	Shipped	FBA15BWT9Z23U001 - Unit Quantity	FBA15BWT9Z23U001 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U002 - Unit Quantity	FBA15BWT9Z23U002 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U003 - Unit Quantity	FBA15BWT9Z23U003 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U004 - Unit Quantity	FBA15BWT9Z23U004 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U005 - Unit Quantity	FBA15BWT9Z23U005 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U006 - Unit Quantity	FBA15BWT9Z23U006 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U007 - Unit Quantity	FBA15BWT9Z23U007 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U008 - Unit Quantity	FBA15BWT9Z23U008 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U009 - Unit Quantity	FBA15BWT9Z23U009 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U010 - Unit Quantity	FBA15BWT9Z23U010 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U011 - Unit Quantity	FBA15BWT9Z23U011 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U012 - Unit Quantity	FBA15BWT9Z23U012 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U013 - Unit Quantity	FBA15BWT9Z23U013 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U014 - Unit Quantity	FBA15BWT9Z23U014 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U015 - Unit Quantity	FBA15BWT9Z23U015 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U016 - Unit Quantity	FBA15BWT9Z23U016 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U017 - Unit Quantity	FBA15BWT9Z23U017 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U018 - Unit Quantity	FBA15BWT9Z23U018 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U019 - Unit Quantity	FBA15BWT9Z23U019 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U020 - Unit Quantity	FBA15BWT9Z23U020 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U021 - Unit Quantity	FBA15BWT9Z23U021 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U022 - Unit Quantity	FBA15BWT9Z23U022 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U023 - Unit Quantity	FBA15BWT9Z23U023 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U024 - Unit Quantity	FBA15BWT9Z23U024 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U025 - Unit Quantity	FBA15BWT9Z23U025 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U026 - Unit Quantity	FBA15BWT9Z23U026 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U027 - Unit Quantity	FBA15BWT9Z23U027 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U028 - Unit Quantity	FBA15BWT9Z23U028 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U029 - Unit Quantity	FBA15BWT9Z23U029 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U030 - Unit Quantity	FBA15BWT9Z23U030 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U031 - Unit Quantity	FBA15BWT9Z23U031 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U032 - Unit Quantity	FBA15BWT9Z23U032 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U033 - Unit Quantity	FBA15BWT9Z23U033 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U034 - Unit Quantity	FBA15BWT9Z23U034 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U035 - Unit Quantity	FBA15BWT9Z23U035 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U036 - Unit Quantity	FBA15BWT9Z23U036 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U037 - Unit Quantity	FBA15BWT9Z23U037 Expiration Date (dd.mm.yy)	FBA15BWT9Z23U038 - Unit Quantity	FBA15BWT9Z23U038 Expiration Date (dd.mm.yy)
61-XJMG-M7XL	HP 17 BII+ Calcolatrice	B000P7UXYQ	X000O9EOLB	EAN : 0882780681576	Nuovo	"--"	"--"	Venditore	3		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
8N-26UM-0OMA	HP Hp 20B	B0026OJIN8	X000PCGIST	EAN : 0883585875382	Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-12854012	Epson C13T12854012 Cartuccia Inkjet Ink Pigmentato, Blister RS Volpe-M T1285, Confezione da 4, Nero/Ciano/Magenta/Giallo, Imballaggio Standard	B003MVJ36Q	X000U9BKD5	EAN : 8715946469003	Nuovo	"--"	"--"	Venditore	17																																																																												
FBA-AGE-500870	Aigostar Eve 30GON - Bollitore d'acqua in vetro borosilicato con illuminazione a LED. 2200W, 1.7L e Color Bianca. Protezione Boil-dry. BPA FREE. Design Esclusivo.	B01CUECL00	X000RB4XIF	EAN : 8433325500870	Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-AST_10453B_16080	My Custom Style® Telo mare "#SummerTime #Unicorno", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B07D63MJKL	X000UV6I2L		Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-AST_10558_16080	My Custom Style® Telo mare modello "Vintage - We can do it", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B073JKZG5C	X000UVEYIL		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-AST_10580_16080	My Custom Style® Telo mare modello "Mare - Spiaggia", in microfibra vellutata, per spiaggia palestra piscina o tempo libero . Formato da 160x80cm. L'asciugamano è personalizzato, con la grafica scelta, utilizzando una stampa sublimatica full print ad alta risoluzione, per un risultato bello e duraturo.	B073JMPD2P	X000UUUCXX		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-PD_3950_16	My Custom Style® Pen Drive USB "Coin Card" tonda (diametro 4,3cm) ultrapiatta (0,3mm) modello "volley" da 16Gb. Non accontentarTi della solita banale Pen Drive !	B01MYCIJRB	X000UVJJNV		Nuovo	"--"	"--"	Venditore	1		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-SHOP_5P_1	Set df 5 borse in Cotone, bianco naturale, 38x42cm	B001JPPEI8	X000RZ8DU5	EAN : 4260081542790	Nuovo	"--"	"--"	Venditore	10		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
FBA-SHOP_T019_30_1	STOCK 30 PEZZI Borsa shopper shopping in cotone naturale	B01I06ZE6K	X000UDPO6P	EAN : 7425752554527	Nuovo	"--"	"--"	Venditore	5		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed		Not Needed
